"","SPECIES","DATE","STATE","TIME","LOC","LAT","LONG","BAND_PR","BAND_N","L","R","AGE","SEX","WT","FAT","BM","BILL_L","BILL_W","BILL_D","WING","TARS","TAIL","RFID","GEOLOCATOR_ID","FEEDER","BANDER","NOTES","RECAP"
"101","LAZB",2019-07-19,"UT",0,"CG",NA,NA,2811,18196,"P","OA","ASY","M",15.7,0,NA,7.94,4.99,6.12,73,16.74,56,"01103F7CF6","BT164","DC2","KSS","MED CP","N"
"102","LAZB",2019-07-20,"UT",0,"DC",NA,NA,2811,18197,"U","A","ASY","F",15.4,0,NA,8.13,5.64,6.19,70,17.12,55,"01103F7327",NA,"DC2","KSS","RECEEDING BP, MISSING ALL NAPE FEATHERS","N"
"103","LAZB",2019-07-20,"UT",0,"DC",NA,NA,2811,18198,"U","A","SY","M",13.6,0,NA,8.25,4.76,5.88,73,16.95,56,"01103F3F10",NA,"DC2","KSS","SMALL CP, HEAVY NAPE MOLT (PINS AOUT TO BREAK), FLANK MOLT IN PIN","N"
"104","LAZB",2019-07-20,"UT",0,"DC",NA,NA,2811,18199,"U","A","ASY","M",15.9,0,NA,7.68,5.31,6.94,75,17.23,61,"01103F7136",NA,"DC2","KSS","LARGE CP","N"
"105","LAZB",2019-07-20,"UT",0,"DC",NA,NA,2811,18200,"U","A","SY","F",12.6,0,NA,6.81,4.77,5.99,71,17.07,54,"01103F55AC",NA,"DC2","KSS","RECEEDING BP","N"
"106","LAZB",2019-07-20,"UT",0,"DC",NA,NA,2811,18326,"U","A","ASY","M",14.6,0,NA,5.36,5.2,6.05,73,16.68,57,"01103F43C5",NA,"DC2","KSS","MED CP","N"
"107","LAZB",2019-07-20,"UT",0,"DC",NA,NA,2811,18327,"U","A","SY","M",14.4,0,NA,7.73,5.32,6.23,74,17.34,56,"01103F50F8",NA,"DC2","KSS","NO CP","N"
"108","LAZB",2019-07-20,"UT",0,"DC",NA,NA,2811,18328,"U","A","SY","F",14.8,0,NA,7.99,5.27,6.17,68,15.58,52,"01103F5B6C",NA,"DC2","KSS","RECEEDING BP","N"
"109","LAZB",2019-07-21,"UT",0,"DC",NA,NA,2811,18329,"U","A","SY","F",15.2,0,NA,7.63,4.44,6.18,70,16.78,54,"01103F4056",NA,"DC2","KSS","RECEEDING BP BREAST FEATHERS IN PIN","N"
"110","LAZB",2019-07-21,"UT",0,"DC",NA,NA,2811,18330,"U","OA","SY","M",16.5,0,NA,7.55,5.4,6.06,73,16.6,57,"01103F4D11","BT173","DC2","KSS","MED CP","N"
"111","LAZB",2019-07-21,"UT",0,"DC",NA,NA,2811,18331,"U","A","SY","F",15.5,0,NA,7.41,5.26,6.16,66,17.09,51,"01103F461F",NA,"DC2","KSS","RECEEDING BP BREAST FEATHERS IN PIN","N"
"112","LAZB",2019-07-21,"UT",0,"DC",NA,NA,2811,18332,"U","A","SY","M",15.4,0,NA,7.71,5.3,6.34,71,16.61,54,"01103F83C4",NA,"DC2","KSS","SMALL CP","N"
"113","LAZB",2019-07-21,"UT",0,"DC",NA,NA,2811,18333,"U","OA","SY","M",15.5,0,NA,7.75,5.41,6.24,73,17.81,56,"01103F5EA0","BT172","DC2","KSS","MED CP","N"
"114","LAZB",2019-07-21,"UT",0,"DC",NA,NA,2811,18334,"U","A","SY","M",15.5,0,NA,7.28,5.28,6.38,72,17.52,51,".01103F4330",NA,"DC2","KSS","NO CP, HEAVY FLANK MOLT (BREAKING PIN)","N"
"115","LAZB",2019-07-22,"UT",0,"CG",NA,NA,2811,18335,"P","A","SY","M",15.8,0,NA,7.7,5.95,5.95,72,16.8,55,"01101724E1",NA,"CG6","KSS","SMALL CP","N"
